data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-05-24,20,45.693962,9.662369,Bergamo,PM2.5
2019-05-25,13,45.693962,9.662369,Bergamo,PM2.5
2019-05-26,8,45.693962,9.662369,Bergamo,PM2.5
2019-05-27,13,45.693962,9.662369,Bergamo,PM2.5
2019-05-28,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-29,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-30,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-31,10,45.693962,9.662369,Bergamo,PM2.5
2019-06-01,12,45.693962,9.662369,Bergamo,PM2.5
2019-06-02,13,45.693962,9.662369,Bergamo,PM2.5
2019-06-03,14,45.693962,9.662369,Bergamo,PM2.5
2019-06-04,19,45.693962,9.662369,Bergamo,PM2.5
2019-06-05,22,45.693962,9.662369,Bergamo,PM2.5
2019-06-06,17,45.693962,9.662369,Bergamo,PM2.5
2019-06-07,15,45.693962,9.662369,Bergamo,PM2.5
2019-06-08,18,45.693962,9.662369,Bergamo,PM2.5
2019-06-09,18,45.693962,9.662369,Bergamo,PM2.5
2019-06-10,15,45.693962,9.662369,Bergamo,PM2.5
2019-06-11,18,45.693962,9.662369,Bergamo,PM2.5
2019-06-12,16,45.693962,9.662369,Bergamo,PM2.5
2019-06-13,9,45.693962,9.662369,Bergamo,PM2.5
2019-06-14,12,45.693962,9.662369,Bergamo,PM2.5
2019-06-15,18,45.693962,9.662369,Bergamo,PM2.5
2019-06-16,7,45.693962,9.662369,Bergamo,PM2.5
2019-06-17,12,45.693962,9.662369,Bergamo,PM2.5
2019-06-18,13,45.693962,9.662369,Bergamo,PM2.5
2019-06-19,16,45.693962,9.662369,Bergamo,PM2.5
2019-06-20,14,45.693962,9.662369,Bergamo,PM2.5
2019-06-21,15,45.693962,9.662369,Bergamo,PM2.5
2019-06-22,10,45.693962,9.662369,Bergamo,PM2.5
2019-06-23,7,45.693962,9.662369,Bergamo,PM2.5
2019-06-24,12,45.693962,9.662369,Bergamo,PM2.5
2019-06-25,16,45.693962,9.662369,Bergamo,PM2.5
2019-06-26,22,45.693962,9.662369,Bergamo,PM2.5
2019-06-27,22,45.693962,9.662369,Bergamo,PM2.5
2019-06-28,19,45.693962,9.662369,Bergamo,PM2.5
2019-06-29,12,45.693962,9.662369,Bergamo,PM2.5
2019-06-30,13,45.693962,9.662369,Bergamo,PM2.5
2019-07-01,13,45.693962,9.662369,Bergamo,PM2.5
2019-07-02,10,45.693962,9.662369,Bergamo,PM2.5
2019-07-03,10,45.693962,9.662369,Bergamo,PM2.5
2019-07-04,9,45.693962,9.662369,Bergamo,PM2.5
2019-07-05,15,45.693962,9.662369,Bergamo,PM2.5
2019-07-06,14,45.693962,9.662369,Bergamo,PM2.5
2019-07-07,12,45.693962,9.662369,Bergamo,PM2.5
2019-07-08,11,45.693962,9.662369,Bergamo,PM2.5
2019-07-09,10,45.693962,9.662369,Bergamo,PM2.5
2019-07-10,13,45.693962,9.662369,Bergamo,PM2.5
2019-07-11,11,45.693962,9.662369,Bergamo,PM2.5
2019-07-12,12,45.693962,9.662369,Bergamo,PM2.5
2019-07-13,15,45.693962,9.662369,Bergamo,PM2.5
2019-07-14,8,45.693962,9.662369,Bergamo,PM2.5
2019-07-15,8,45.693962,9.662369,Bergamo,PM2.5
2019-07-16,8,45.693962,9.662369,Bergamo,PM2.5
2019-07-17,12,45.693962,9.662369,Bergamo,PM2.5
