data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-07-21,113.4,45.693962,9.662369,Bergamo,O3
2019-07-22,124.3,45.693962,9.662369,Bergamo,O3
2019-07-23,128.5,45.693962,9.662369,Bergamo,O3
2019-07-24,141.3,45.693962,9.662369,Bergamo,O3
2019-07-25,150.4,45.693962,9.662369,Bergamo,O3
2019-07-26,136.0,45.693962,9.662369,Bergamo,O3
2019-07-27,84.2,45.693962,9.662369,Bergamo,O3
2019-07-28,81.9,45.693962,9.662369,Bergamo,O3
2019-07-29,89.6,45.693962,9.662369,Bergamo,O3
2019-07-30,106.3,45.693962,9.662369,Bergamo,O3
2019-07-31,96.3,45.693962,9.662369,Bergamo,O3
2019-08-01,104.1,45.693962,9.662369,Bergamo,O3
2019-08-02,86.2,45.693962,9.662369,Bergamo,O3
2019-08-03,84.7,45.693962,9.662369,Bergamo,O3
2019-08-04,99.3,45.693962,9.662369,Bergamo,O3
2019-08-05,96.5,45.693962,9.662369,Bergamo,O3
2019-08-06,106.1,45.693962,9.662369,Bergamo,O3
2019-08-07,86.2,45.693962,9.662369,Bergamo,O3
2019-08-08,70.6,45.693962,9.662369,Bergamo,O3
2019-08-09,81.6,45.693962,9.662369,Bergamo,O3
2019-08-10,92.4,45.693962,9.662369,Bergamo,O3
2019-08-11,88.9,45.693962,9.662369,Bergamo,O3
2019-08-12,75.0,45.693962,9.662369,Bergamo,O3
2019-08-13,64.2,45.693962,9.662369,Bergamo,O3
2019-08-14,67.5,45.693962,9.662369,Bergamo,O3
2019-08-15,78.5,45.693962,9.662369,Bergamo,O3
2019-08-16,73.9,45.693962,9.662369,Bergamo,O3
2019-08-17,82.7,45.693962,9.662369,Bergamo,O3
2019-08-18,92.8,45.693962,9.662369,Bergamo,O3
2019-08-19,92.3,45.693962,9.662369,Bergamo,O3
2019-08-20,92.9,45.693962,9.662369,Bergamo,O3
2019-08-21,87.0,45.693962,9.662369,Bergamo,O3
2019-08-22,83.1,45.693962,9.662369,Bergamo,O3
2019-08-23,61.5,45.693962,9.662369,Bergamo,O3
